year,country,grouping,imports_total,exports_total,imports_intra,exports_intra,imports_USA,exports_USA,imports_CAN,exports_CAN,imports_MEX,exports_MEX
1990,MEX,39_40,1342204636,527191016,1087414538,270174875,1076945600,263080696,10468938,7094179,-2,-2
1990,MEX,41_43,176612030,71315757,134582747,56701836,132932620,53839318,1650127,2862518,-3,-3
1990,MEX,44_49,1263881309,355571513,1075476688,306519276,1020401350,300221965,55075338,6297311,-6,-6
1990,MEX,50_63,1131512673,631931565,605996091,354362725,594938289,318994648,11057802,35368077,-14,-14
1990,MEX,64_67,130172669,84348297,67912264,65922860,67791735,62853242,120529,3069618,-4,-4
1990,MEX,68_71,318256976,929596156,209651126,605525459,205474714,575091212,4176412,30434247,-4,-4
1990,MEX,72_83,2361273908,1770154047,1647362032,1244571843,1573376104,1215163536,73985928,29408307,-12,-12
1990,MEX,84_85,8834702161,4089252656,5371977081,3500298877,5266136576,2754625152,105840505,745673725,-2,-2
1990,MEX,86,107501026,26810242,102216243,17377973,102078616,16951276,137627,426697,-1,-1
1990,MEX,87,1465071682,3380667223,894938821,3203614540,836921408,2856748800,58017413,346865740,-1,-1
1990,MEX,88_89,492432357,125689189,334565994,115127636,297486792,114304720,37079202,822916,-2,-2
1990,MEX,90_97,1479416414,419291931,1044174432,308033770,1032939498,270631498,11234934,37402272,-8,-8
1990,MEX,all,60743439190,56372970778,40904468400,39971164438,39696981965,36988075153,1207486435,2983089285,-2,-2
1990,USA,01_05,6205911597,6262359431,3161745207,1355323587,-5,-5,2538671417,768613818,623073790,586709769
1990,USA,06_15,4360086625,12944993546,2456898708,3580083452,-10,-10,825286862,1875134493,1631611846,1704948959
1990,USA,16_24,5886756568,6831887053,2070199360,2039489787,-9,-9,1521670951,1494892481,548528409,544597306
1990,USA,25_26,2013029809,2213853195,1498844956,873628816,-2,-2,1056475020,655687092,442369936,217941724
1990,USA,2709,11399719785,137604247,9758936463,124038798,-1,-1,4691789711,124038798,5067146752,0
1990,USA,28_38,9730579702,19403283367,4426243133,5957743661,-11,-11,3718303392,4447326577,707939741,1510417084
1990,USA,39_40,7141489898,8657927383,2907392211,4700063387,-2,-2,2644311515,3623117787,263080696,1076945600
1990,USA,41_43,2299333775,2147323853,269865559,353723320,-3,-3,216026241,220790700,53839318,132932620
1990,USA,44_49,15963931421,13618525999,13554485472,4907102744,-6,-6,13254263507,3886701394,300221965,1020401350
1990,USA,50_63,10474082867,5557308341,1011894668,2058856501,-14,-14,692900020,1463918212,318994648,594938289
1990,USA,64_67,5061115497,307011994,149386756,143364336,-4,-4,86533514,75572601,62853242,67791735
1990,USA,68_71,5869525508,4532955204,1920572832,1952950371,-4,-4,1345481620,1747475657,575091212,205474714
1990,USA,72_83,17326643465,13429978257,8581177369,6655339240,-12,-12,7366013833,5081963136,1215163536,1573376104
1990,USA,84_85,80136297347,67784420072,15788655866,28330082266,-2,-2,13034030714,23063945690,2754625152,5266136576
1990,USA,86,1292436413,354016466,519752187,302106535,-1,-1,502800911,200027919,16951276,102078616
1990,USA,87,61527088477,21044945438,29515733575,18078352460,-1,-1,26658984775,17241431052,2856748800,836921408
1990,USA,88_89,3990039420,13505828320,2020242326,1800163480,-2,-2,1905937606,1502676688,114304720,297486792
1990,USA,90_97,14781666133,14511439781,2668094452,5181078963,-8,-8,2397462954,4148139465,270631498,1032939498
1990,USA,all,561213768071,452068377755,227426202939,190164378515,-2,-2,190438127786,150467396550,36988075153,39696981965
1991,CAN,01_05,1593553573,3883647758,1033422743,2599937861,1031836923,2536884763,-5,-5,1585820,63053098
1991,CAN,06_15,3742089361,4706186063,2640937613,854182458,2530380699,809442443,-10,-10,110556914,44740015
1991,CAN,16_24,3469790275,2322287464,2003622350,1868549939,1985114754,1859748710,-9,-9,18507596,8801229
1991,CAN,25_26,1027154204,3288946142,737287499,1036438653,723078559,999743543,-2,-2,14208940,36695110
1991,CAN,2709,3916203660,5292834476,112488983,5214462251,33683052,5214462251,-1,-1,78805931,0
1991,CAN,28_38,7008636308,5487843525,5278343572,3795102628,5263274970,3763334602,-11,-11,15068602,31768026
1991,CAN,39_40,4866442068,3396442558,4075980303,2744423045,4065371328,2719282893,-2,-2,10608975,25140152
1991,CAN,41_43,708927438,366769888,192786094,205004528,190782464,201697359,-3,-3,2003630,3307169
1991,CAN,44_49,5007172990,17988306042,4441009395,12424791410,4438874312,12352783448,-6,-6,2135083,72007962
1991,CAN,50_63,4364228527,1235383574,1809208373,862645419,1769521210,848521316,-14,-14,39687163,14124103
1991,CAN,64_67,773052984,94343066,135531594,83330047,131332722,83250807,-4,-4,4198872,79240
1991,CAN,68_71,2566847782,2994242595,1855354470,1955220598,1816800642,1953273984,-4,-4,38553828,1946614
1991,CAN,72_83,7022549171,10266416128,5447441574,7064491602,5411159971,6993306995,-12,-12,36281603,71184607
1991,CAN,84_85,35712320186,16519842982,27611725807,13376450837,26870833086,13224639021,-2,-2,740892721,151811816
1991,CAN,86,193999273,449287883,186741021,421192582,186156623,421143255,-1,-1,584398,49327
1991,CAN,87,23554771273,26757233559,19008204706,26273070270,17938761844,26206359306,-1,-1,1069442862,66710964
1991,CAN,88_89,2636421545,3277312922,1696330893,2262932329,1695134497,2246433316,-2,-2,1196396,16499013
1991,CAN,90_97,7132536893,2977612187,5024659254,2367096449,4970182228,2336683137,-8,-8,54477026,30413312
1991,CAN,all,241429067651,252121291351,174914830300,193523930958,170374048686,191778696944,-2,-2,4540781614,1745234014
1991,MEX,01_05,1307660127,801491152,1017195074,707285366,954141976,705699546,63053098,1585820,-5,-5
